Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,118.628891,118.948364,118.628891,118.323807,118.323807,0
2022-02-14,119.351730,119.351730,119.257233,119.393265,119.393265,0
2022-02-15,119.217697,119.217697,119.155426,119.257233,119.257233,0
2022-02-16,119.110291,119.110291,118.502731,119.155426,119.155426,0
2022-02-17,118.490761,118.490761,118.401283,118.502731,118.502731,0
2022-02-18,118.454399,118.454399,117.988350,118.401283,118.401283,0
2022-02-21,118.076683,118.076683,117.862679,117.988350,117.988350,0
2022-02-22,118.331367,118.331367,118.075111,117.862679,117.862679,0
2022-02-23,118.212616,118.212616,117.828896,118.075111,118.075111,0
2022-02-24,118.333878,119.504791,118.333878,117.828896,117.828896,0
2022-02-25,119.169830,119.169830,118.654800,119.504791,119.504791,0
2022-02-28,119.072769,119.231178,119.072769,118.046684,118.046684,0
2022-03-01,119.563477,119.563477,119.563477,119.231178,119.231178,0
2022-03-02,119.653435,119.653435,119.653435,119.563477,119.563477,0
2022-03-03,119.980888,119.980888,119.980888,119.653435,119.653435,0
2022-03-04,120.754257,120.754257,120.447014,120.281219,120.281219,0
2022-03-07,121.827919,121.827919,121.283646,120.921715,120.921715,0
2022-03-08,121.331596,121.331596,121.151901,121.283646,121.283646,0
2022-03-09,121.084747,121.381035,121.084747,121.151901,121.151901,0
2022-03-10,120.471611,120.471611,120.444939,121.381035,121.381035,0
2022-03-11,121.060417,121.060417,120.405411,120.444939,120.444939,0
2022-03-14,121.656616,121.656616,120.777718,120.405411,120.405411,0
2022-03-15,120.754562,120.754562,120.754219,120.777718,120.777718,0
2022-03-16,121.033363,121.033363,120.515968,120.754219,120.754219,0
2022-03-17,120.058136,120.136467,119.641777,120.515968,120.515968,0
2022-03-18,119.279228,120.194084,119.279228,119.751183,119.751183,0
2022-03-21,119.986237,120.162643,119.986237,120.194084,120.194084,0
2022-03-22,120.539658,120.539658,119.932747,120.162643,120.162643,0
2022-03-23,120.012154,120.649010,120.012154,119.999092,119.999092,0
2022-03-24,120.377266,120.466995,120.377266,120.649010,120.649010,0
2022-03-25,120.347984,120.347984,120.347984,120.466995,120.466995,0
2022-03-28,120.801598,120.801598,120.203758,120.642693,120.642693,0
2022-03-29,120.417908,120.417908,119.990051,120.203758,120.203758,0
